id,title,description,type,priority,status,start_date,end_date,dependencies,acceptance_criteria,estimate,assignee
UX-01,Integrar MOCK_SERVICES como fuente de datos para el catálogo,Usar MOCK_SERVICES en ServicesCatalog para fuente de datos.,UX,high,completed,2026-01-26,2026-01-27,"[]","UI renderiza 6 servicios desde MOCK_SERVICES; no hay errores de compilación; estructura de datos coincide con types.Servicio",6,Unassigned
UX-02,SearchBar en navbar con filtrado en tiempo real,Implementar barra de búsqueda que filtra MOCK_SERVICES y muestra resultados en dropdown.,UX,high,completed,2026-01-28,2026-01-29,["UX-01"],"filtrado correcto por nombre; resultado visible al escribir; sin errores UI",8,Unassigned
UX-03,ThemeToggle con persistencia,Botón para alternar entre dark y light y almacenar preferencia en localStorage.,UX,high,completed,2026-01-29,2026-01-30,["UX-01"],"cambia tema en UI; persistencia tras recargas; aplica a todos los componentes",6,Unassigned
UX-04,Accesibilidad básica: skip-to-content,Agregar salto rápido y sr-only para lectores de pantalla.,UX,medium,completed,2026-01-30,2026-01-30,["UX-01"],"el enlace funciona y enfoca el contenido principal",3,Unassigned
UX-05,Bookmark por servicio,Permitir marcar servicios y guardar en localStorage; mostrar icono de marcado.,UX,medium,completed,2026-02-01,2026-02-01,["UX-01"],"marcador visible en card; estado preservado tras recargas",6,Unassigned
DB-01,Crear tabla leads en Supabase,Tabla leads y seed básica para desarrollo local.,Backend/DB,high,completed,2026-02-02,2026-02-02,["UX-01"],"tabla leads creada; seed disponible",3,Unassigned
DB-02,Conectar ContactForm a addLead,Guardar leads desde formulario en Supabase usando addLead.,Backend/DB,high,completed,2026-02-03,2026-02-04,["DB-01"],"lead insertado correctamente; UI muestra confirmación",6,Unassigned
DB-03,Seed leads para desarrollo,Seed básico para testing.,Backend/DB,medium,completed,2026-02-05,2026-02-05,["DB-01"],"filas de leads presentes en DB",3,Unassigned
TEST-01,Lead flow end-to-end (manual),Enviar lead desde el formulario y verificar que aparece en Supabase.,Test,high,planned,2026-02-06,2026-02-06,["DB-02"],"lead visible en DB y UI confirma",6,Unassigned
TEST-02,Accesibilidad y navegación (manual),Pruebas de A11y y navegación por teclado.,Test,medium,planned,2026-02-07,2026-02-07,["UX-04"],"cumple criterios básicos de accesibilidad",4,Unassigned
DOC-01,Runbook de desarrollo local,Guía reproducible para levantar Supabase, seeds y pruebas.,Docs,high,planned,2026-02-08,2026-02-08,[],"pasos reproducibles; documentación de pasos",2,Unassigned
DOC-02,Documentación de estructuras de datos,Decisiones de diseño de leads y servicios.,Docs,medium,planned,2026-02-08,2026-02-08,["DB-01","DB-02"],"diagrama/esquemas claros; guía de uso de data models",2,Unassigned
UX-06,Breadcrumbs y TOC (planificado para UX),Propuesta de navegación avanzada para secciones largas.,UX,low,planned,2026-02-09,2026-02-10,["UX-01"],"navegación clara en secciones largas",4,Unassigned
TEST-03,Pruebas automatizadas de leads (plan),Plan para Playwright/Cypress para lead flows.,Test,medium,planned,2026-02-11,2026-02-12,["TEST-01","TEST-02"],"definiciones de tests; scripts base",6,Unassigned
