"Summary","Issue Type","Description","Priority","Status","Start Date","Due Date","Assignee","Labels","Acceptance Criteria","Estimate","Dependencies"
"Integrar MOCK_SERVICES como fuente de datos para el catálogo","Task","Usar MOCK_SERVICES en ServicesCatalog para fuente de datos.","High","Done","2026-01-26","2026-01-27","Unassigned","mvp,ux","UI renderiza 6 servicios desde MOCK_SERVICES; no hay errores de compilación; estructura de datos coincide con types.Servicio","6",""
"SearchBar en navbar con filtrado en tiempo real","Task","Implementar barra de búsqueda que filtra MOCK_SERVICES y muestra resultados en dropdown.","High","Done","2026-01-28","2026-01-29","Unassigned","mvp,ux","Filtrado correcto por nombre; resultado visible al escribir; sin errores UI","8","UX-01"
"ThemeToggle con persistencia","Task","Botón para alternar entre dark y light y almacenar preferencia en localStorage.","High","Done","2026-01-29","2026-01-30","Unassigned","mvp,ux","Cambia tema en UI; persistencia tras recargas; aplica a todos los componentes","6","UX-01"
"Accesibilidad básica: skip-to-content","Task","Agregar salto rápido y sr-only para lectores de pantalla.","Medium","Done","2026-01-30","2026-01-30","Unassigned","mvp,ux","El enlace funciona y enfoca el contenido principal","3","UX-01"
"Bookmark por servicio","Task","Permitir marcar servicios y guardar en localStorage; mostrar icono de marcado.","Medium","Done","2026-02-01","2026-02-01","Unassigned","mvp,ux","Marcador visible en card; estado preservado tras recargas","6","UX-01"
"Crear tabla leads en Supabase","Task","Tabla leads y seed básica para desarrollo local.","High","Done","2026-02-02","2026-02-02","Unassigned","mvp,db","Tabla creada; seed disponible","3","UX-01"
"Conectar ContactForm a addLead","Task","Guardar leads desde formulario en Supabase usando addLead.","High","Done","2026-02-03","2026-02-04","Unassigned","mvp,db","Lead insertado correctamente; UI muestra confirmación","6","DB-01"
"Seed leads para desarrollo","Task","Seed básico para testing.","Medium","Done","2026-02-05","2026-02-05","Unassigned","mvp,db","Filas de leads presentes en DB","3","DB-01"
"Lead flow end-to-end (manual)","Task","Enviar lead desde el formulario y verificar que aparece en Supabase.","High","Planned","2026-02-06","2026-02-06","Unassigned","mvp,test","Lead visible en DB y UI confirma","6","DB-02"
"Accesibilidad y navegación (manual)","Task","Pruebas de A11y y navegación por teclado.","Medium","Planned","2026-02-07","2026-02-07","Unassigned","mvp,test","Cumple criterios básicos de accesibilidad","4","UX-04"
"Runbook de desarrollo local","Task","Guía reproducible para levantar Supabase, seeds y pruebas.","High","Planned","2026-02-08","2026-02-08","Unassigned","mvp,docs","Pasos reproducibles; documentación de pasos","2","DOC-02"
"Documentación de estructuras de datos","Task","Decisiones de diseño de leads y servicios.","Medium","Planned","2026-02-08","2026-02-08","Unassigned","mvp,docs","Diagrama/esquemas claros; guía de uso de data models","2","DB-01 DB-02"
"Breadcrumbs y TOC (planificado para UX)","Task","Propuesta de navegación avanzada para secciones largas.","Low","Planned","2026-02-09","2026-02-10","Unassigned","mvp,ux","Navegación clara en secciones largas","4","UX-01"
"Pruebas automatizadas de leads (plan)","Task","Plan para Playwright/Cypress para lead flows.","Medium","Planned","2026-02-11","2026-02-12","Unassigned","mvp,test","Definiciones de tests; scripts base","6","TEST-01 TEST-02"
